entry_date,exit_date,ticker,trade_type,entry_price,exit_price,strike,position_eur,units,pnl_eur,pnl_pct,bars_held,max_r_mult,exit_reason
2017-05-02,2017-07-05,AMZN,option_us,3.51,3.95,44.97,1541.0,4.39,191.6,12.43,44,0.69,dte_exit
2017-05-03,2017-05-16,UBSG.SW,stock,13.47,13.47,,1101.0,81.7657,-0.0,-0.0,9,0.76,trailing_stop
2017-05-12,2017-05-25,AD.AS,stock,14.79,14.79,,1115.0,75.4107,-0.0,-0.0,9,0.51,trailing_stop
2017-05-16,2017-05-18,EWZ,stock,24.69,20.97,,1110.0,44.9435,-167.4,-15.08,2,0.0,emergency_stop
2017-05-16,2017-06-09,EWU,stock,24.29,24.04,,1110.0,45.6857,-11.37,-1.02,17,0.67,trailing_stop
2017-05-18,2017-06-09,BIDU,stock,182.86,182.86,,1093.0,5.9768,-0.0,-0.0,15,1.12,trailing_stop
2017-05-26,2017-06-29,EXC,stock,18.97,18.97,,1093.0,57.616,-0.0,-0.0,23,1.14,trailing_stop
2017-06-06,2017-06-28,MSFT,stock,65.65,62.36,,1078.0,16.4176,-54.06,-5.02,16,0.01,trailing_stop
2017-06-09,2017-06-22,CORN,stock,19.45,18.6,,1077.0,55.3605,-47.26,-4.39,9,0.14,trailing_stop
2017-06-13,2017-06-26,MPC,stock,41.64,39.52,,1095.0,26.3057,-55.81,-5.1,9,0.0,trailing_stop
2017-06-13,2017-07-18,SAND.ST,stock,110.03,104.42,,1095.0,9.9551,-55.81,-5.09,24,0.18,trailing_stop
2017-06-13,2017-10-13,C,stock,48.98,54.51,,1095.0,22.3642,123.81,11.3,86,4.89,trailing_stop
2017-06-26,2017-07-07,NOVN.SW,stock,49.38,46.9,,1085.0,21.9751,-54.3,-5.0,9,0.0,trailing_stop
2017-06-26,2017-07-10,MRK,stock,48.23,46.34,,1085.0,22.4985,-42.47,-3.91,9,0.0,trailing_stop
2017-06-28,2017-08-10,EWT,stock,21.95,22.24,,1080.0,49.1896,14.55,1.35,30,2.05,trailing_stop
2017-06-30,2017-07-14,DBB,stock,13.53,13.53,,1080.0,79.7908,-0.0,-0.0,9,0.39,trailing_stop
2017-07-05,2017-08-18,NKE,stock,51.9,49.26,,1173.0,22.6037,-59.77,-5.09,32,0.65,trailing_stop
2017-07-07,2017-07-24,SOYB,stock,18.9,18.9,,1168.0,61.7909,-0.0,-0.0,11,1.31,trailing_stop
2017-07-11,2017-07-24,BHP.AX,stock,11.78,11.57,,1164.0,98.8075,-20.16,-1.73,9,0.46,trailing_stop
2017-07-12,2017-07-25,CORN,stock,19.84,18.83,,1164.0,58.6463,-59.28,-5.1,9,0.0,trailing_stop
2017-07-12,2017-10-03,DE,option_us,9.11,6.28,107.67,1629.0,1.79,-506.47,-31.09,58,0.16,dte_exit
2017-07-13,2017-10-03,TMO,option_us,12.24,19.14,167.52,1629.0,1.33,919.15,56.43,57,0.88,dte_exit
2017-07-18,2017-08-02,BABA,stock,146.79,146.79,,1158.0,7.8882,-0.0,-0.0,11,1.02,trailing_stop
2017-07-18,2017-11-29,ASML,stock,130.53,162.35,,1158.0,8.8711,282.27,24.38,94,9.11,trailing_stop
2017-07-24,2017-08-04,ABT,stock,43.75,42.25,,1156.0,26.42,-39.69,-3.43,9,0.0,trailing_stop
2017-07-24,2017-08-29,WBC.AX,stock,20.58,19.96,,1156.0,56.1581,-35.16,-3.04,26,0.53,trailing_stop
2017-07-27,2017-08-17,WMT,stock,22.84,22.84,,1150.0,50.3421,0.02,0.0,15,1.58,trailing_stop
2017-08-03,2017-08-16,BP,stock,22.29,21.74,,1150.0,51.5926,-28.63,-2.49,9,0.54,trailing_stop
2017-08-04,2017-10-31,ZURN.SW,option_eu,14.59,13.95,181.9,1604.0,1.1,-70.72,-4.41,62,0.0,dte_exit
2017-08-10,2017-08-23,SU.PA,stock,56.36,56.36,,1147.0,20.3587,-0.0,-0.0,9,0.12,trailing_stop
2017-08-18,2017-09-08,CPER,stock,18.89,19.48,,1139.0,60.2818,35.79,3.14,14,3.69,trailing_stop
2017-09-05,2017-09-18,TQQQ,stock,4.55,4.55,,1135.0,249.421,-0.0,-0.0,9,0.25,trailing_stop
2017-09-05,2017-09-29,MRK,stock,46.48,46.78,,1135.0,24.4235,7.33,0.65,18,2.23,trailing_stop
2017-09-05,2017-09-29,INTU,stock,133.21,133.21,,1135.0,8.5215,-0.0,-0.0,18,1.07,trailing_stop
2017-09-05,2017-12-05,IFX.DE,option_eu,1.61,3.69,17.13,1589.0,9.87,2047.91,128.86,63,2.62,dte_exit
2017-09-08,2018-01-30,HD,stock,129.6,160.29,,1139.0,8.7867,269.71,23.69,98,10.67,trailing_stop
2017-09-19,2017-12-04,SO,stock,35.4,36.02,,1139.0,32.166,19.77,1.74,53,2.36,trailing_stop
2017-10-03,2017-10-27,BIDU,stock,250.25,250.51,,1181.0,4.7182,1.23,0.1,18,2.21,trailing_stop
2017-10-03,2017-12-01,GOOGL,stock,48.03,50.78,,1181.0,24.5832,67.65,5.73,42,3.96,trailing_stop
2017-10-04,2017-11-24,MUV2.DE,stock,131.5,135.84,,1181.0,8.9789,38.98,3.3,36,3.43,trailing_stop
2017-10-04,2017-12-05,XBI,option_us,6.65,1.2,82.49,1653.0,2.49,-1353.4,-81.87,43,0.05,dte_exit
2017-10-16,2017-11-14,SOYB,stock,18.78,18.2,,1193.0,63.5345,-36.52,-3.06,20,0.0,trailing_stop
2017-10-27,2018-01-02,NKE,option_us,3.99,9.64,47.37,1671.0,4.19,2370.66,141.91,44,1.73,dte_exit
2017-10-31,2018-01-02,SU.PA,option_eu,4.15,0.78,59.07,1661.0,4.0,-1349.39,-81.26,42,0.0,dte_exit
2017-11-14,2017-11-28,NVDA,stock,5.27,5.27,,1182.0,224.4976,-0.0,-0.0,9,0.35,trailing_stop
2017-11-24,2017-12-14,IWM,stock,136.32,134.66,,1186.0,8.703,-14.41,-1.22,14,0.75,trailing_stop
2017-11-30,2018-02-02,XLI,stock,63.88,68.08,,1215.0,19.0139,79.9,6.58,43,6.68,trailing_stop
2017-11-30,2018-02-02,SPY,stock,231.83,245.25,,1215.0,5.2393,70.31,5.79,43,7.97,trailing_stop
2017-12-01,2018-01-25,UNP,stock,105.55,111.86,,1221.0,11.5719,73.09,5.98,36,3.92,trailing_stop
2017-12-04,2017-12-15,IBM,stock,104.66,102.26,,1223.0,11.6885,-28.16,-2.3,9,0.19,trailing_stop
2017-12-05,2018-01-29,CAT,stock,118.83,136.2,,1293.0,10.8792,188.93,14.61,36,6.46,trailing_stop
2017-12-05,2018-01-30,CVX,stock,84.6,89.53,,1293.0,15.2814,75.36,5.83,37,4.6,trailing_stop
2017-12-14,2017-12-28,TSLA,stock,22.76,21.6,,1291.0,56.747,-65.8,-5.1,9,0.12,trailing_stop
2017-12-18,2018-01-24,TXN,stock,81.13,88.65,,1289.0,15.882,119.37,9.26,24,4.85,trailing_stop
2017-12-28,2018-01-30,BHP.AX,stock,14.3,14.8,,1282.0,89.6455,44.63,3.48,21,3.42,trailing_stop
2018-01-03,2018-02-01,INDA,stock,32.86,33.27,,1384.0,42.1218,17.24,1.25,20,3.08,trailing_stop
2018-01-03,2018-02-05,BNO,stock,18.25,18.38,,1384.0,75.8489,9.64,0.7,22,2.05,trailing_stop
2018-01-24,2018-02-06,XBI,stock,95.12,90.27,,1396.0,14.6773,-71.13,-5.1,9,0.22,trailing_stop
2018-01-25,2018-02-07,UNG,stock,105.23,99.86,,1403.0,13.3367,-71.5,-5.1,9,0.26,trailing_stop
2018-01-29,2018-02-09,NOVN.SW,stock,51.63,49.0,,1422.0,27.5444,-72.46,-5.1,9,0.0,trailing_stop
2018-01-30,2018-02-09,BABA,stock,193.04,163.92,,1461.0,7.5693,-220.42,-15.08,8,0.54,emergency_stop
2018-01-30,2018-02-12,INTC,stock,41.58,39.46,,1461.0,35.1412,-74.45,-5.09,9,0.0,trailing_stop
2018-01-30,2018-02-12,NEE,stock,31.68,30.18,,1461.0,46.1274,-69.27,-4.74,9,0.57,trailing_stop
2018-02-01,2018-02-21,WEAT,stock,31.43,31.43,,1463.0,46.5439,-0.0,-0.0,13,0.82,trailing_stop
2018-02-02,2018-02-15,AMT,stock,119.38,113.3,,1478.0,12.3804,-75.3,-5.09,9,0.0,trailing_stop
2018-02-02,2018-03-02,LMT,stock,285.44,270.9,,1478.0,5.1777,-75.3,-5.1,19,0.46,trailing_stop
2018-02-05,2018-03-22,NOK,stock,4.62,4.62,,1479.0,319.8718,-0.0,-0.0,32,1.37,trailing_stop
2018-02-19,2018-03-02,FMG.AX,stock,2.19,2.08,,1413.0,644.1944,-72.02,-5.1,9,0.07,trailing_stop
2018-02-20,2018-03-05,RI.PA,stock,107.78,105.26,,1413.0,13.1142,-33.06,-2.34,9,0.43,trailing_stop
2018-02-20,2018-03-07,BMY,stock,51.27,48.66,,1413.0,27.5688,-72.02,-5.1,11,0.02,trailing_stop
2018-02-27,2018-03-13,AAPL,stock,42.12,42.12,,1413.0,33.5602,-0.0,-0.0,10,0.25,trailing_stop
2018-02-27,2018-03-14,NESTE.HE,stock,15.88,15.07,,1413.0,89.0129,-72.02,-5.1,11,0.0,trailing_stop
2018-02-27,2018-03-26,CSL.AX,stock,147.21,140.91,,1413.0,9.6016,-60.49,-4.28,19,0.39,trailing_stop
2018-02-28,2018-03-23,NFLX,stock,29.34,30.01,,1413.0,48.1767,32.31,2.29,17,1.82,trailing_stop
2018-02-28,2018-03-23,AMZN,stock,76.05,76.07,,1413.0,18.5857,0.27,0.02,17,0.9,trailing_stop
2018-03-12,2018-03-23,SCHW,stock,51.89,49.25,,1388.0,26.7514,-70.73,-5.1,9,0.0,trailing_stop
2018-03-13,2018-03-26,ABT,stock,55.55,52.79,,1388.0,24.9911,-68.91,-4.96,9,0.0,trailing_stop
2018-03-13,2018-03-26,PLD,stock,50.79,48.65,,1388.0,27.3311,-58.57,-4.22,9,0.16,trailing_stop
2018-03-13,2018-03-26,AMAT,stock,56.14,53.28,,1388.0,24.7286,-70.73,-5.1,9,0.0,trailing_stop
2018-03-14,2018-03-27,SMH,stock,52.19,49.53,,1381.0,26.46,-70.36,-5.1,9,0.0,trailing_stop
2018-03-16,2018-04-12,NEE,stock,32.5,32.5,,1381.0,42.4884,-0.0,-0.0,18,1.11,trailing_stop
2018-04-19,2018-05-02,NFLX,stock,33.32,31.62,,1344.0,40.3438,-68.49,-5.1,9,0.0,trailing_stop
2018-04-19,2018-05-02,MRK,stock,44.02,42.82,,1344.0,30.5412,-36.62,-2.72,9,0.46,trailing_stop
2018-04-19,2018-05-03,IBM,stock,101.11,95.96,,1344.0,13.2959,-68.49,-5.1,10,0.0,trailing_stop
2018-04-19,2018-05-17,PLD,stock,52.62,50.48,,1344.0,25.5459,-54.7,-4.07,20,0.33,trailing_stop
2018-04-19,2018-06-25,INTU,stock,171.96,193.02,,1344.0,7.8175,164.62,12.25,46,3.68,trailing_stop
2018-04-20,2018-05-03,SLV,stock,16.17,15.44,,1344.0,83.1557,-60.68,-4.51,9,0.0,trailing_stop
2018-04-20,2018-05-04,EOG,stock,85.62,85.62,,1344.0,15.7012,-0.0,-0.0,10,0.75,trailing_stop
2018-04-20,2018-05-30,ABBN.SW,stock,17.58,16.72,,1344.0,76.4476,-66.19,-4.92,25,0.8,trailing_stop
2018-04-20,2018-06-04,USO,stock,109.39,105.46,,1344.0,12.2892,-48.28,-3.59,30,1.69,trailing_stop
2018-04-20,2018-07-18,GDXJ,stock,30.34,28.79,,1344.0,44.3103,-68.49,-5.1,61,0.33,trailing_stop
2018-05-11,2018-05-24,CVX,stock,91.72,91.72,,1321.0,14.4018,-0.0,-0.0,9,0.21,trailing_stop
