entry_date,exit_date,ticker,entry_price,exit_price,position_eur,units,pnl_eur,pnl_pct,bars_held,max_r_mult,exit_reason
2025-09-19,2025-11-14,AMAT,190.64,212.31,1521.0,7.9775,172.9,11.37,40,5.19,trailing_stop
2025-09-26,2025-10-10,CPER,29.18,30.08,1510.0,51.7402,46.38,3.07,10,3.21,trailing_stop
2025-10-10,2025-10-31,NOK,5.31,6.94,1516.0,285.82,466.47,30.76,15,11.58,trailing_stop
2025-10-22,2025-11-04,TEF.MC,4.39,3.73,1639.0,373.1715,-247.21,-15.08,9,0.0,emergency_stop
2025-10-22,2025-11-04,OR.PA,377.03,357.82,1639.0,4.3465,-83.5,-5.09,9,0.0,trailing_stop
2025-10-22,2025-11-04,RI.PA,86.28,81.88,1639.0,18.994,-83.5,-5.1,9,0.0,trailing_stop
2025-10-31,2025-11-13,NVDA,206.64,196.12,1705.0,8.2528,-86.89,-5.1,9,0.02,trailing_stop
2025-11-04,2025-11-17,AMZN,250.63,237.86,1646.0,6.5684,-83.88,-5.1,9,0.0,trailing_stop
2025-11-05,2025-12-08,LLY,910.57,999.59,1652.0,1.8139,161.46,9.78,22,4.12,trailing_stop
2025-11-07,2025-11-20,BMW.DE,84.38,84.38,1652.0,19.5734,-0.0,-0.0,9,1.21,trailing_stop
2025-11-12,2025-11-25,UCG.MI,65.53,62.23,1652.0,25.2038,-83.22,-5.04,9,0.17,trailing_stop
2025-11-13,2026-02-11,PFE,25.54,27.83,1639.0,64.1892,147.12,8.97,60,2.06,end_of_data
2025-11-26,2025-12-16,GOOGL,320.79,304.45,1640.0,5.1127,-83.56,-5.1,13,0.01,trailing_stop
2025-11-27,2026-02-11,BNP.PA,72.54,92.53,1640.0,22.6089,451.9,27.55,51,6.25,end_of_data
2025-12-01,2025-12-12,AVGO,394.49,394.49,1640.0,4.1575,-0.0,-0.0,9,0.51,trailing_stop
2025-12-03,2026-01-30,SLV,53.04,85.69,1640.0,30.9202,1009.5,61.55,39,16.55,trailing_stop
2025-12-08,2025-12-23,BMW.DE,96.04,92.15,1663.0,17.3182,-67.24,-4.04,11,0.33,trailing_stop
2025-12-15,2025-12-31,DBA,25.51,25.51,1663.0,65.2056,-0.0,-0.0,11,0.42,trailing_stop
2025-12-22,2026-02-11,SBUX,88.25,98.26,1686.0,19.1044,191.27,11.35,34,2.62,end_of_data
2025-12-23,2026-01-08,SCHW,101.62,101.62,1676.0,16.4957,-0.0,-0.0,10,0.51,trailing_stop
2025-12-23,2026-01-12,ALV.DE,391.79,380.47,1676.0,4.2786,-48.44,-2.89,9,0.1,trailing_stop
2026-01-02,2026-01-30,DBB,23.08,24.05,1676.0,72.6213,69.92,4.17,19,3.09,trailing_stop
2026-01-08,2026-02-11,ASML,1216.87,1431.25,1676.0,1.3776,295.32,17.62,23,3.74,end_of_data
2026-01-12,2026-02-11,COST,920.06,981.0,1669.0,1.8144,110.57,6.62,21,2.63,end_of_data
2026-01-30,2026-02-11,SOYB,22.32,23.12,1824.0,81.6942,65.17,3.57,8,1.95,end_of_data
2026-02-02,2026-02-11,USO,75.58,79.08,1824.0,24.1296,84.56,4.64,7,0.87,end_of_data
